Periode;GUADELOUPE;MARTINIQUE;GUYANE;LA REUNION;ILE-DE-FRANCE;CENTRE-VAL DE LOIRE;BOURGOGNE FRANCHE-COMTE;NORMANDIE;HAUTS-DE-FRANCE;GRAND-EST;PAYS DE LA LOIRE;BRETAGNE;NOUVELLE-AQUITAINE;OCCITANIE;AUVERGNE RHONE-ALPES;PROVENCE-ALPES-COTE D'AZUR;CORSE; FRANCE METROPOLITAINE ; France 
2006T4;49 620;41 330;13 900;91 460;646 350;129 260;143 270;187 070;382 040;282 830;185 900;155 190;304 730;325 920;363 390;291 770;12 160; 3 409 900   ; 3 606 200   
2007T1;49 620;41 030;13 810;89 600;629 610;124 060;138 470;181 800;372 450;273 010;179 870;150 620;295 280;316 620;354 650;285 480;11 640; 3 313 600   ; 3 507 600   
2007T2;49 330;40 820;13 560;89 430;615 090;120 840;134 180;175 920;366 040;264 390;174 800;147 300;288 020;309 950;345 750;280 160;11 310; 3 233 700   ; 3 426 900   
2007T3;47 890;39 450;13 550;88 390;601 360;119 320;132 070;172 910;362 240;261 270;171 220;145 400;282 680;304 850;341 330;275 100;11 160; 3 180 900   ; 3 370 200   
2007T4;47 360;40 020;13 400;86 750;584 360;116 140;128 420;168 640;358 580;256 410;167 010;142 280;276 060;301 560;333 270;269 790;11 000; 3 113 500   ; 3 301 000   
2008T1;47 430;40 550;13 560;86 920;575 230;114 870;126 520;166 720;355 990;252 550;165 200;139 950;274 710;299 210;328 360;264 930;10 950; 3 075 200   ; 3 263 700   
2008T2;47 830;40 080;14 250;88 940;568 000;115 500;125 390;166 380;356 270;251 540;163 970;137 460;274 110;300 040;328 280;261 970;10 820; 3 059 700   ; 3 250 800   
2008T3;47 700;40 320;14 390;91 150;567 350;117 330;126 900;168 610;359 840;254 440;165 800;138 460;276 070;304 000;335 460;264 580;10 990; 3 089 800   ; 3 283 400   
2008T4;47 980;40 750;14 470;93 600;578 090;121 590;132 340;176 410;369 190;265 670;174 430;145 220;286 430;313 500;350 560;272 730;11 090; 3 197 300   ; 3 394 000   
2009T1;46 630;39 910;14 990;98 190;604 660;129 590;142 880;187 990;389 960;285 990;188 720;154 000;300 820;328 780;378 840;287 460;11 320; 3 391 000   ; 3 590 700   
